Name,Total Citations,h-index,5 year h-index,i10-index,5 year i10-index
"POLLACK, GERALD",NA,NA,NA,NA,NA
"DALCANTON, JULIANNE",NA,NA,NA,NA,NA
"EMERSON, SCOTT",NA,NA,NA,NA,NA
"SCHWARTZ, STEPHEN",NA,NA,NA,NA,NA
"SHEN, DANNY",NA,NA,NA,NA,NA
"STEVENS, NANCY",NA,NA,NA,NA,NA
"KRAMLICH, JOHN",NA,NA,NA,NA,NA
"HURLEY, JAMES",NA,NA,NA,NA,NA
"ROHDE, STEFFEN",NA,NA,NA,NA,NA
"LINGAPPA, JAISRI",NA,NA,NA,NA,NA
"MILLER, GERALD",NA,NA,NA,NA,NA
"TUNCEL, SELIM",NA,NA,NA,NA,NA
"LARSON, TIMOTHY",10477,60,38,145,91
"KIMELMAN, DAVID",NA,NA,NA,NA,NA
"XIA, ZHENGUI",NA,NA,NA,NA,NA
"NITTROUER, CHARLES",11477,65,31,141,85
"HWANG, JENQ-NENG",8544,41,24,162,63
"BELZA, BASIA",NA,NA,NA,NA,NA
"HALLET, BERNARD",NA,NA,NA,NA,NA
"MEADOWS, VICTORIA",5762,39,30,85,69
"MARTIN, MICHAEL",4869,31,19,60,35
"GUGERTY, MARY",2578,15,14,19,16
"KOBLITZ, NEAL",17063,40,23,69,48
"HERTING, JERALD",NA,NA,NA,NA,NA
"SEIXAS, NOAH",NA,NA,NA,NA,NA
"KEMP, SUSAN",NA,NA,NA,NA,NA
"MCDERMOTT, LILLIAN",NA,NA,NA,NA,NA
"MCDONALD, DAVID",7622,36,27,69,49
"SHEPPARD, ELIZABETH",NA,NA,NA,NA,NA
"WATTS, KATHRYN",NA,NA,NA,NA,NA
"STATEN, HENRY",NA,NA,NA,NA,NA
"SWALLA, BILLIE",5358,39,23,84,38
"MAZZA, JAMES",NA,NA,NA,NA,NA
"ALBERTI, MARINA",8933,34,30,42,35
"ZUMETA, WILLIAM",NA,NA,NA,NA,NA
"STUETZLE, WERNER",NA,NA,NA,NA,NA
"BAIOCCHI, ORLANDO",NA,NA,NA,NA,NA
"DELANEY, JOHN",NA,NA,NA,NA,NA
"LAWSON, VICTORIA",NA,NA,NA,NA,NA
"WONG, SHAWN",NA,NA,NA,NA,NA
"KAUFMAN, JOEL",NA,NA,NA,NA,NA
"THOMAS, CRAIG",NA,NA,NA,NA,NA
"SARIKAYA, MEHMET",NA,NA,NA,NA,NA
"TAKENAKA, TOSHIKO",NA,NA,NA,NA,NA
"BINDER, MARC",5252,44,13,68,21
"NGHIEM, PAUL",NA,NA,NA,NA,NA
"FAN, MARY",NA,NA,NA,NA,NA
"KLINGER, TERRIE",NA,NA,NA,NA,NA
"TEMPEL, BRUCE",NA,NA,NA,NA,NA
"HAUSCHKA, STEPHEN",NA,NA,NA,NA,NA
"MASTROIANNI, ANNA",NA,NA,NA,NA,NA
"OHUCHI, FUMIO",NA,NA,NA,NA,NA
"BECKETT, KATHERINE",NA,NA,NA,NA,NA
"IVEZIC, ZELJKO",82766,124,80,254,210
"TORO, TATIANA",NA,NA,NA,NA,NA
"GROSS, TED",4237,38,23,61,48
"COOPER, JOYCE",3043,21,15,33,23
"RAIBLE, DAVID",NA,NA,NA,NA,NA
"MCKNIGHT, BARBARA",NA,NA,NA,NA,NA
"PARICHY, DAVID",NA,NA,NA,NA,NA
"DOMKE, DAVID",3646,26,20,37,28
"FU, QIANG",3657,18,17,25,23
"SCOTT, C",464,11,8,12,5
"KARPEN, RICHARD",NA,NA,NA,NA,NA
"WALKER, JAMIE",NA,NA,NA,NA,NA
"WEISS, NOEL",NA,NA,NA,NA,NA
"SANDALL, SUSAN",NA,NA,NA,NA,NA
"LARAMORE, GEORGE",NA,NA,NA,NA,NA
"HAWKINS, JOHN",NA,NA,NA,NA,NA
"WILCOCK, WILLIAM",3460,35,19,63,44
"KATZE, MICHAEL",NA,NA,NA,NA,NA
"MODARRES, ALI",NA,NA,NA,NA,NA
"BENDER, WILLIAM",NA,NA,NA,NA,NA
